




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (1146)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
system development (GO:0048731)	4330	450	240.94	+	1.87	5.50E-42	8.69E-38
multicellular organism development (GO:0007275)	4941	487	274.94	+	1.77	1.78E-40	1.41E-36
anatomical structure development (GO:0048856)	5330	506	296.59	+	1.71	2.29E-38	1.21E-34
nervous system development (GO:0007399)	2218	284	123.42	+	2.30	3.93E-38	1.55E-34
developmental process (GO:0032502)	5797	527	322.57	+	1.63	2.19E-35	6.93E-32
anatomical structure morphogenesis (GO:0009653)	2158	270	120.08	+	2.25	1.59E-34	4.19E-31
multicellular organismal process (GO:0032501)	6926	590	385.39	+	1.53	1.78E-33	4.01E-30
neurogenesis (GO:0022008)	1391	191	77.40	+	2.47	2.87E-28	5.68E-25
animal organ development (GO:0048513)	3220	329	179.18	+	1.84	2.71E-27	4.76E-24
generation of neurons (GO:0048699)	1271	178	70.72	+	2.52	3.37E-27	5.33E-24
cell differentiation (GO:0030154)	3575	350	198.93	+	1.76	3.84E-26	5.51E-23
cellular developmental process (GO:0048869)	3634	353	202.21	+	1.75	1.11E-25	1.47E-22
neuron differentiation (GO:0030182)	1043	153	58.04	+	2.64	3.84E-25	4.67E-22
animal organ morphogenesis (GO:0009887)	956	139	53.20	+	2.61	1.56E-22	1.76E-19
regulation of signaling (GO:0023051)	3545	330	197.26	+	1.67	7.36E-21	7.76E-18
regulation of cell communication (GO:0010646)	3509	324	195.26	+	1.66	5.32E-20	5.25E-17
regulation of localization (GO:0032879)	2753	271	153.19	+	1.77	9.92E-20	9.22E-17
central nervous system development (GO:0007417)	1000	135	55.64	+	2.43	2.68E-19	2.35E-16
cell-cell signaling (GO:0007267)	1131	145	62.93	+	2.30	7.76E-19	6.45E-16
cell development (GO:0048468)	1646	184	91.59	+	2.01	4.61E-18	3.64E-15
regulation of multicellular organismal process (GO:0051239)	2673	258	148.74	+	1.73	1.03E-17	7.79E-15
nucleic acid metabolic process (GO:0090304)	2217	44	123.36	-	.36	6.88E-17	4.95E-14
neuron development (GO:0048666)	846	115	47.08	+	2.44	1.22E-16	8.36E-14
regulation of transport (GO:0051049)	1772	188	98.60	+	1.91	2.22E-16	1.46E-13
tissue development (GO:0009888)	1729	185	96.21	+	1.92	2.45E-16	1.55E-13
regulation of signal transduction (GO:0009966)	3128	282	174.06	+	1.62	9.56E-16	5.81E-13
negative regulation of cellular process (GO:0048523)	4902	394	272.77	+	1.44	5.34E-15	3.12E-12
biological regulation (GO:0065007)	12568	829	699.34	+	1.19	6.09E-15	3.44E-12
regulation of developmental process (GO:0050793)	2461	232	136.94	+	1.69	8.87E-15	4.67E-12
regulation of biological quality (GO:0065008)	3995	335	222.30	+	1.51	8.75E-15	4.77E-12
regulation of biological process (GO:0050789)	11898	793	662.06	+	1.20	1.10E-14	5.62E-12
brain development (GO:0007420)	759	102	42.23	+	2.42	1.64E-14	8.11E-12
regulation of cellular process (GO:0050794)	11351	763	631.62	+	1.21	1.76E-14	8.43E-12
head development (GO:0060322)	803	105	44.68	+	2.35	2.53E-14	1.18E-11
trans-synaptic signaling (GO:0099537)	432	71	24.04	+	2.95	3.11E-14	1.40E-11
regulation of ion transport (GO:0043269)	703	96	39.12	+	2.45	4.25E-14	1.86E-11
anatomical structure formation involved in morphogenesis (GO:0048646)	883	111	49.13	+	2.26	6.38E-14	2.73E-11
cell fate commitment (GO:0045165)	238	50	13.24	+	3.78	8.07E-14	3.36E-11
synaptic signaling (GO:0099536)	464	73	25.82	+	2.83	9.34E-14	3.79E-11
nucleobase-containing compound metabolic process (GO:0006139)	2705	71	150.52	-	.47	1.16E-13	4.57E-11
heterocycle metabolic process (GO:0046483)	2891	79	160.87	-	.49	1.50E-13	5.40E-11
regionalization (GO:0003002)	317	58	17.64	+	3.29	1.49E-13	5.49E-11
regulation of membrane potential (GO:0042391)	437	70	24.32	+	2.88	1.43E-13	5.50E-11
tube morphogenesis (GO:0035239)	654	90	36.39	+	2.47	1.49E-13	5.60E-11
negative regulation of biological process (GO:0048519)	5501	423	306.10	+	1.38	2.39E-13	8.41E-11
pattern specification process (GO:0007389)	426	68	23.70	+	2.87	3.71E-13	1.28E-10
sensory organ development (GO:0007423)	555	80	30.88	+	2.59	3.95E-13	1.33E-10
tissue morphogenesis (GO:0048729)	545	79	30.33	+	2.61	4.50E-13	1.48E-10
embryo development (GO:0009790)	991	117	55.14	+	2.12	4.67E-13	1.51E-10
positive regulation of multicellular organismal process (GO:0051240)	1431	151	79.63	+	1.90	5.42E-13	1.71E-10
modulation of chemical synaptic transmission (GO:0050804)	431	68	23.98	+	2.84	6.00E-13	1.86E-10
regulation of trans-synaptic signaling (GO:0099177)	432	68	24.04	+	2.83	6.60E-13	2.01E-10
regulation of cell population proliferation (GO:0042127)	1654	167	92.04	+	1.81	9.13E-13	2.49E-10
tube development (GO:0035295)	856	105	47.63	+	2.20	9.00E-13	2.50E-10
anterograde trans-synaptic signaling (GO:0098916)	414	66	23.04	+	2.86	8.75E-13	2.52E-10
cellular nitrogen compound metabolic process (GO:0034641)	3395	103	188.91	-	.55	8.95E-13	2.53E-10
chemical synaptic transmission (GO:0007268)	414	66	23.04	+	2.86	8.75E-13	2.56E-10
gene expression (GO:0010467)	2117	50	117.80	-	.42	8.68E-13	2.59E-10
positive regulation of developmental process (GO:0051094)	1271	138	70.72	+	1.95	1.05E-12	2.81E-10
neuron projection development (GO:0031175)	691	91	38.45	+	2.37	1.19E-12	3.13E-10
circulatory system development (GO:0072359)	877	106	48.80	+	2.17	1.62E-12	4.20E-10
negative regulation of cell communication (GO:0010648)	1401	147	77.96	+	1.89	1.82E-12	4.64E-10
negative regulation of signaling (GO:0023057)	1405	147	78.18	+	1.88	2.02E-12	5.06E-10
morphogenesis of an epithelium (GO:0002009)	441	68	24.54	+	2.77	2.30E-12	5.68E-10
cell morphogenesis (GO:0000902)	715	92	39.79	+	2.31	2.81E-12	6.84E-10
RNA processing (GO:0006396)	930	10	51.75	-	.19	4.40E-12	1.04E-09
positive regulation of cellular process (GO:0048522)	5741	431	319.46	+	1.35	4.37E-12	1.05E-09
behavior (GO:0007610)	557	77	30.99	+	2.48	7.12E-12	1.66E-09
axon development (GO:0061564)	421	65	23.43	+	2.77	7.33E-12	1.68E-09
regulation of transmembrane transport (GO:0034762)	591	80	32.89	+	2.43	7.49E-12	1.69E-09
regulation of ion transmembrane transport (GO:0034765)	502	72	27.93	+	2.58	7.85E-12	1.75E-09
regulation of cell differentiation (GO:0045595)	1586	158	88.25	+	1.79	9.12E-12	2.00E-09
forebrain development (GO:0030900)	387	61	21.53	+	2.83	9.90E-12	2.14E-09
embryonic morphogenesis (GO:0048598)	570	78	31.72	+	2.46	1.06E-11	2.27E-09
neuron projection morphogenesis (GO:0048812)	499	71	27.77	+	2.56	1.48E-11	3.12E-09
cellular component morphogenesis (GO:0032989)	611	81	34.00	+	2.38	1.56E-11	3.24E-09
organic cyclic compound metabolic process (GO:1901360)	3182	98	177.06	-	.55	1.62E-11	3.33E-09
negative regulation of response to stimulus (GO:0048585)	1831	175	101.89	+	1.72	1.85E-11	3.75E-09
positive regulation of biological process (GO:0048518)	6331	463	352.29	+	1.31	2.07E-11	4.13E-09
plasma membrane bounded cell projection morphogenesis (GO:0120039)	503	71	27.99	+	2.54	3.11E-11	6.15E-09
cell projection morphogenesis (GO:0048858)	507	71	28.21	+	2.52	3.62E-11	7.07E-09
signaling (GO:0023052)	5565	415	309.66	+	1.34	3.77E-11	7.10E-09
cell fate specification (GO:0001708)	81	26	4.51	+	5.77	3.82E-11	7.11E-09
neuron projection guidance (GO:0097485)	278	49	15.47	+	3.17	3.75E-11	7.15E-09
regulation of system process (GO:0044057)	585	78	32.55	+	2.40	3.73E-11	7.20E-09
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	128	67.44	+	1.90	4.70E-11	8.44E-09
regulation of response to stimulus (GO:0048583)	4306	337	239.61	+	1.41	4.69E-11	8.52E-09
regulation of cation channel activity (GO:2001257)	186	39	10.35	+	3.77	4.65E-11	8.56E-09
locomotion (GO:0040011)	1345	138	74.84	+	1.84	4.91E-11	8.73E-09
cellular aromatic compound metabolic process (GO:0006725)	2937	89	163.43	-	.54	5.04E-11	8.85E-09
RNA metabolic process (GO:0016070)	1582	34	88.03	-	.39	5.98E-11	1.04E-08
cell communication (GO:0007154)	5656	419	314.73	+	1.33	7.34E-11	1.26E-08
axon guidance (GO:0007411)	277	48	15.41	+	3.11	9.93E-11	1.69E-08
central nervous system neuron differentiation (GO:0021953)	183	38	10.18	+	3.73	1.05E-10	1.75E-08
positive regulation of signaling (GO:0023056)	1761	167	97.99	+	1.70	1.05E-10	1.77E-08
epithelium development (GO:0060429)	1113	119	61.93	+	1.92	1.13E-10	1.87E-08
macromolecule metabolic process (GO:0043170)	6151	243	342.27	-	.71	1.41E-10	2.30E-08
cell part morphogenesis (GO:0032990)	526	71	29.27	+	2.43	1.58E-10	2.55E-08
axonogenesis (GO:0007409)	385	58	21.42	+	2.71	1.84E-10	2.94E-08
primary metabolic process (GO:0044238)	7352	305	409.10	-	.75	1.87E-10	2.96E-08
positive regulation of cell communication (GO:0010647)	1755	165	97.66	+	1.69	2.05E-10	3.21E-08
regulation of cation transmembrane transport (GO:1904062)	378	57	21.03	+	2.71	2.62E-10	4.06E-08
regulation of multicellular organismal development (GO:2000026)	1332	134	74.12	+	1.81	3.02E-10	4.59E-08
movement of cell or subcellular component (GO:0006928)	1596	153	88.81	+	1.72	3.00E-10	4.60E-08
positive regulation of cell differentiation (GO:0045597)	840	96	46.74	+	2.05	3.15E-10	4.75E-08
regulation of cell death (GO:0010941)	1668	158	92.82	+	1.70	3.28E-10	4.90E-08
nitrogen compound metabolic process (GO:0006807)	6886	283	383.17	-	.74	4.20E-10	6.09E-08
positive regulation of RNA biosynthetic process (GO:1902680)	1629	155	90.65	+	1.71	4.24E-10	6.09E-08
positive regulation of transcription, DNA-templated (GO:0045893)	1628	155	90.59	+	1.71	4.19E-10	6.13E-08
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	155	90.59	+	1.71	4.19E-10	6.19E-08
regulation of locomotion (GO:0040012)	997	108	55.48	+	1.95	4.63E-10	6.60E-08
negative regulation of signal transduction (GO:0009968)	1305	131	72.62	+	1.80	4.75E-10	6.70E-08
urogenital system development (GO:0001655)	324	51	18.03	+	2.83	5.24E-10	7.34E-08
positive regulation of cell population proliferation (GO:0008284)	939	103	52.25	+	1.97	6.00E-10	8.32E-08
enzyme linked receptor protein signaling pathway (GO:0007167)	723	85	40.23	+	2.11	1.02E-09	1.40E-07
cell morphogenesis involved in neuron differentiation (GO:0048667)	453	62	25.21	+	2.46	1.37E-09	1.86E-07
regulation of nervous system development (GO:0051960)	443	61	24.65	+	2.47	1.68E-09	2.27E-07
cellular metabolic process (GO:0044237)	7542	321	419.67	-	.76	2.18E-09	2.92E-07
inorganic ion transmembrane transport (GO:0098660)	637	77	35.45	+	2.17	2.23E-09	2.96E-07
organic substance metabolic process (GO:0071704)	7840	337	436.25	-	.77	2.43E-09	3.21E-07
epithelial tube morphogenesis (GO:0060562)	309	48	17.19	+	2.79	2.48E-09	3.24E-07
regulation of anatomical structure morphogenesis (GO:0022603)	967	103	53.81	+	1.91	2.52E-09	3.27E-07
regulation of neurogenesis (GO:0050767)	364	53	20.25	+	2.62	2.90E-09	3.72E-07
system process (GO:0003008)	2057	181	114.46	+	1.58	3.10E-09	3.95E-07
regulation of cellular component movement (GO:0051270)	1032	108	57.43	+	1.88	3.14E-09	3.97E-07
renal system development (GO:0072001)	291	46	16.19	+	2.84	3.28E-09	4.12E-07
cell morphogenesis involved in differentiation (GO:0000904)	559	70	31.11	+	2.25	3.36E-09	4.18E-07
blood vessel morphogenesis (GO:0048514)	410	57	22.81	+	2.50	3.39E-09	4.19E-07
regulation of programmed cell death (GO:0043067)	1532	144	85.25	+	1.69	3.63E-09	4.44E-07
negative regulation of multicellular organismal process (GO:0051241)	1014	106	56.42	+	1.88	3.70E-09	4.50E-07
chemotaxis (GO:0006935)	547	69	30.44	+	2.27	3.81E-09	4.60E-07
